🦔 hedgehog emoji	u+1f994	1f994
🦕 sauropod emoji	brachiosaurus, brontosaurus, dinosaur	1f995
🦖 t-rex emoji	tyrannosaurus rex	1f996
🦗 cricket emoji	grasshopper	1f997
🧀 cheese wedge emoji	cheese	1f9c0
🧐 face with monocle emoji	u+1f9d0	1f9d0
🧑 adult emoji	u+1f9d1	1f9d1
🧒 child emoji	gender neutral child	1f9d2
🧓 older adult emoji	gender neutral older adult	1f9d3
🧔 bearded person emoji	bearded person	1f9d4
🧕 person with headscarf emoji	woman's headscarf, hijab	1f9d5
🧖 person in steamy room emoji	sauna, steam room	1f9d6
🧗 person climbing emoji	u+1f9d7	1f9d7
🧘 person in lotus position emoji	yoga, meditation	1f9d8
🧙 mage emoji	wizard, witch, sorcerer, sorceress	1f9d9
🧚 fairy emoji	u+1f9da	1f9da
🧛 vampire emoji	u+1f9db	1f9db
🧜 merperson emoji	mermaid, merman, merboy, mergirl	1f9dc
🧝 elf emoji	legolas	1f9dd
🧞 genie emoji	djinni, jinni	1f9de
🧟 zombie emoji	u+1f9df	1f9df
🧠 brain emoji	u+1f9e0	1f9e0
🧡 orange heart emoji	u+1f9e1	1f9e1
🧢 billed cap emoji	baseball cap	1f9e2
🧣 scarf emoji	u+1f9e3	1f9e3
🧤 gloves emoji	u+1f9e4	1f9e4
🧥 coat emoji	u+1f9e5	1f9e5
🧦 socks emoji	u+1f9e6	1f9e6
