𝕌	mathematical double-struck capital u 	u+1d54c	1d54c
𝕍	mathematical double-struck capital v 	u+1d54d	1d54d
𝕎	mathematical double-struck capital w 	u+1d54e	1d54e
𝕏	mathematical double-struck capital x 	u+1d54f	1d54f
𝕐	mathematical double-struck capital y 	u+1d550	1d550
𝕑	defined in unicode	u+1d551	1d551
𝕒	mathematical double-struck small a 	u+1d552	1d552
𝕓	mathematical double-struck small b 	u+1d553	1d553
𝕔	mathematical double-struck small c 	u+1d554	1d554
𝕕	mathematical double-struck small d 	u+1d555	1d555
𝕖	mathematical double-struck small e 	u+1d556	1d556
𝕗	mathematical double-struck small f 	u+1d557	1d557
𝕘	mathematical double-struck small g 	u+1d558	1d558
𝕙	mathematical double-struck small h 	u+1d559	1d559
𝕚	mathematical double-struck small i 	u+1d55a	1d55a
𝕛	mathematical double-struck small j 	u+1d55b	1d55b
𝕜	mathematical double-struck small k 	u+1d55c	1d55c
𝕝	mathematical double-struck small l 	u+1d55d	1d55d
𝕞	mathematical double-struck small m 	u+1d55e	1d55e
𝕟	mathematical double-struck small n 	u+1d55f	1d55f
𝕠	mathematical double-struck small o 	u+1d560	1d560
𝕡	mathematical double-struck small p 	u+1d561	1d561
𝕢	mathematical double-struck small q 	u+1d562	1d562
𝕣	mathematical double-struck small r 	u+1d563	1d563
𝕤	mathematical double-struck small s 	u+1d564	1d564
𝕥	mathematical double-struck small t 	u+1d565	1d565
𝕦	mathematical double-struck small u 	u+1d566	1d566
𝕧	mathematical double-struck small v 	u+1d567	1d567
𝕨	mathematical double-struck small w 	u+1d568	1d568
𝕩	mathematical double-struck small x 	u+1d569	1d569
𝕪	mathematical double-struck small y 	u+1d56a	1d56a
𝕫	mathematical double-struck small z 	u+1d56b	1d56b
𝕬	mathematical bold fraktur capital a 	u+1d56c	1d56c
𝕭	mathematical bold fraktur capital b 	u+1d56d	1d56d
𝕮	mathematical bold fraktur capital c 	u+1d56e	1d56e
𝕯	mathematical bold fraktur capital d 	u+1d56f	1d56f
𝕰	mathematical bold fraktur capital e 	u+1d570	1d570
𝕱	mathematical bold fraktur capital f 	u+1d571	1d571
𝕲	mathematical bold fraktur capital g 	u+1d572	1d572
𝕳	mathematical bold fraktur capital h 	u+1d573	1d573
𝕴	mathematical bold fraktur capital i 	u+1d574	1d574
𝕵	mathematical bold fraktur capital j 	u+1d575	1d575
𝕶	mathematical bold fraktur capital k 	u+1d576	1d576
𝕷	mathematical bold fraktur capital l 	u+1d577	1d577
𝕸	mathematical bold fraktur capital m 	u+1d578	1d578
𝕹	mathematical bold fraktur capital n 	u+1d579	1d579
𝕺	mathematical bold fraktur capital o 	u+1d57a	1d57a
𝕻	mathematical bold fraktur capital p 	u+1d57b	1d57b
𝕼	mathematical bold fraktur capital q 	u+1d57c	1d57c
𝕽	mathematical bold fraktur capital r 	u+1d57d	1d57d
𝕾	mathematical bold fraktur capital s 	u+1d57e	1d57e
𝕿	mathematical bold fraktur capital t 	u+1d57f	1d57f
𝖀	mathematical bold fraktur capital u 	u+1d580	1d580
𝖁	mathematical bold fraktur capital v 	u+1d581	1d581
𝖂	mathematical bold fraktur capital w 	u+1d582	1d582
𝖃	mathematical bold fraktur capital x 	u+1d583	1d583
𝖄	mathematical bold fraktur capital y 	u+1d584	1d584
𝖅	mathematical bold fraktur capital z 	u+1d585	1d585
𝖆	mathematical bold fraktur small a 	u+1d586	1d586
𝖇	mathematical bold fraktur small b 	u+1d587	1d587
𝖈	mathematical bold fraktur small c 	u+1d588	1d588
𝖉	mathematical bold fraktur small d 	u+1d589	1d589
𝖊	mathematical bold fraktur small e 	u+1d58a	1d58a
𝖋	mathematical bold fraktur small f 	u+1d58b	1d58b
